 ===========================================================
             RISULTATI COSTANTE DI EQUILIBRIO               
 ===========================================================
 Temperatura (K)   Kp   deltaG
 ------------------------------
    20.000  212020.672   -2038.350
    30.000    3549.979   -2037.952
    40.000     459.569   -2037.708
    50.000     134.855   -2037.695
    60.000      59.597   -2038.081
    70.000      33.297   -2039.131
    80.000      21.548   -2041.120
    90.000      15.384   -2044.270
   100.000      11.768   -2048.734
   110.000       9.466   -2054.598
   120.000       7.906   -2061.891
   130.000       6.798   -2070.604
   140.000       5.980   -2080.702
   150.000       5.357   -2092.127
   160.000       4.870   -2104.810
   170.000       4.481   -2118.682
   180.000       4.164   -2133.661
   190.000       3.902   -2149.674
   200.000       3.683   -2166.646
   210.000       3.497   -2184.504
   220.000       3.337   -2203.181
   230.000       3.199   -2222.611
   240.000       3.079   -2242.739
   250.000       2.973   -2263.506
   260.000       2.879   -2284.863
   270.000       2.796   -2306.763
   280.000       2.721   -2329.165
   290.000       2.654   -2352.029
   300.000       2.593   -2375.322
   310.000       2.538   -2399.004
   320.000       2.487   -2423.056
   330.000       2.441   -2447.444
   340.000       2.399   -2472.146
   350.000       2.360   -2497.133
   360.000       2.324   -2522.398
   370.000       2.290   -2547.911
   380.000       2.259   -2573.659
   390.000       2.230   -2599.624
   400.000       2.203   -2625.795
   410.000       2.178   -2652.157
   420.000       2.154   -2678.697
   430.000       2.132   -2705.402
   440.000       2.111   -2732.266
   450.000       2.091   -2759.275
   460.000       2.073   -2786.428
   470.000       2.055   -2813.705
   480.000       2.039   -2841.111
   490.000       2.023   -2868.625
   500.000       2.008   -2896.259
   510.000       1.994   -2923.989
   520.000       1.980   -2951.816
   530.000       1.967   -2979.742
   540.000       1.955   -3007.747
   550.000       1.943   -3035.841
   560.000       1.932   -3064.014
   570.000       1.921   -3092.258
   580.000       1.911   -3120.578
   590.000       1.901   -3148.961
   600.000       1.891   -3177.407
   610.000       1.882   -3205.917
   620.000       1.873   -3234.485
   630.000       1.865   -3263.106
   640.000       1.857   -3291.783
   650.000       1.849   -3320.507
   660.000       1.842   -3349.284
   670.000       1.834   -3378.105
   680.000       1.827   -3406.970
   690.000       1.821   -3435.878
   700.000       1.814   -3464.820
   710.000       1.808   -3493.803
   720.000       1.802   -3522.831
   730.000       1.796   -3551.883
   740.000       1.790   -3580.969
   750.000       1.785   -3610.099
   760.000       1.779   -3639.243
   770.000       1.774   -3668.428
   780.000       1.769   -3697.642
   790.000       1.764   -3726.878
   800.000       1.759   -3756.140
   810.000       1.755   -3785.430
